Matric Marks,FSc Marks, University Name ,GPA
734,772, UOL ,3.07
701,1038, UOL ,3.29
955,1043, UOL ,3.86
718,707, UOL ,2.63
868,1027, UOL ,2.15
772,1074, UOL ,2.33
980,721, UOL ,2.79
1069,664, UOL ,3.83
680,691, UOL ,3.02
907,807, UOL ,3.25
1003,733, UOL ,3.04
1038,873, UOL ,2.75
759,894, UOL ,2.92
827,1031, UOL ,2.77
1075,820, UOL ,2.49
873,742, UOG ,2.92
782,1051, GCUF ,2.97
696,891, GCUF ,2.72
831,1023, UOG ,3.15
670,688, UOS ,2.8
1072,768, UOS ,3.91
1017,735, UOS ,2.13
691,1086, UOL ,3.2
741,738, NTU ,3.01
665,792, NTU ,3.11
994,872, NTU ,2.76
906,863, NTU ,2.22
679,662, GCU ,3.42
1056,665, GCU ,3.83
971,1022, UOE ,3.79
828,819, USA ,2.33
1090,702, USA ,3.88
879,732, USA ,3.8
851,948, COMSATS ,2.33
736,694, COMSATS ,2.79
757,810, COMSATS ,3.83
761,693, COMSATS ,3.02
737,727, COMSATS ,3.25
697,1060, COMSATS ,3.04
978,853, PUCIT ,2.75
987,882, PUCIT ,2.92
1050,761, PUCIT ,2.77
903,868, PUCIT ,2.49
927,789, PUCIT ,2.92
988,851, PUCIT ,2.97
1026,817, PUCIT ,2.72
1061,779, PUCIT ,3.15
813,1100, PUCIT ,2.8
997,1075, PUCIT ,3.91
